mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__L,param_selector__MS,param_selector__algorithm,param_selector__dispersion_measure,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
25.701618194580078,0.12043214151535298,3.1644529819488527,0.08607392169516499,0.7,0.7,algorithm1,MM,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm1', 'selector__dispersion_measure': 'MM'}",0.2798507462686567,0.2889165628891656,0.29638854296388545,0.29514321295143214,0.2889165628891656,0.29140722291407223,0.2876712328767123,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.2905006412520213,0.0044347739964122725,28,0.3013698630136986,0.29897620365246264,0.2934421693414499,0.2953790813503044,0.29620918649695627,0.29676258992805754,0.2948256779192031,0.2948256779192031,0.29371887105700056,0.2996679579413392,0.2965177278619675,0.002529459725423697
24.444016027450562,0.6023660137784878,3.056297206878662,0.083309411354649,0.7,0.7,algorithm1,MAD,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm1', 'selector__dispersion_measure': 'MAD'}",0.2798507462686567,0.2889165628891656,0.29638854296388545,0.29514321295143214,0.2889165628891656,0.29140722291407223,0.2889165628891656,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.29062517425326667,0.004370593458718758,1,0.3013698630136986,0.29897620365246264,0.2934421693414499,0.2953790813503044,0.29620918649695627,0.29676258992805754,0.29454897620365245,0.2948256779192031,0.29371887105700056,0.2998063087991146,0.29650389277618994,0.0025667784485599583
23.15250813961029,0.7232610039349641,3.0761227130889894,0.12205174884249635,0.7,0.7,algorithm1,TV,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm1', 'selector__dispersion_measure': 'TV'}",0.2798507462686567,0.2889165628891656,0.29638854296388545,0.29514321295143214,0.2889165628891656,0.29140722291407223,0.2889165628891656,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.29062517425326667,0.004370593458718758,1,0.3013698630136986,0.29897620365246264,0.2934421693414499,0.2953790813503044,0.29620918649695627,0.29676258992805754,0.29454897620365245,0.2948256779192031,0.29371887105700056,0.2998063087991146,0.29650389277618994,0.0025667784485599583
21.525604677200317,1.5844037122230363,3.039385271072388,0.08776278916786996,0.7,0.7,algorithm1,AMGM,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm1', 'selector__dispersion_measure': 'AMGM'}",0.2798507462686567,0.2889165628891656,0.29638854296388545,0.29514321295143214,0.2889165628891656,0.29140722291407223,0.2889165628891656,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.29062517425326667,0.004370593458718758,1,0.3013698630136986,0.29897620365246264,0.2934421693414499,0.2953790813503044,0.29620918649695627,0.29676258992805754,0.2946873270614278,0.2948256779192031,0.29371887105700056,0.2998063087991146,0.2965177278619675,0.002556556553929552
15.35121762752533,0.7993077850045608,2.6891081809997557,0.15309485523043065,0.7,0.7,algorithm2,MM,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm2', 'selector__dispersion_measure': 'MM'}",0.291044776119403,0.2889165628891656,0.2889165628891656,0.29140722291407223,0.2876712328767123,0.2876712328767123,0.2851805728518057,0.2901618929016189,0.2876712328767123,0.2876712328767123,0.288631252207208,0.0017784969164851385,73,0.2907153729071537,0.2910902047592695,0.2908135030437189,0.2905368013281682,0.2912285556170448,0.2910902047592695,0.2908135030437189,0.2909518539014942,0.2909518539014942,0.2910902047592695,0.29092820580206014,0.00019871291147401722
16.12012894153595,0.8620954977045355,2.843090844154358,0.10273491114260706,0.7,0.7,algorithm2,MAD,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm2', 'selector__dispersion_measure': 'MAD'}",0.27860696517412936,0.29265255292652553,0.29265255292652553,0.2901618929016189,0.2901618929016189,0.2851805728518057,0.286425902864259,0.2901618929016189,0.2876712328767123,0.2876712328767123,0.2881346691201526,0.003949743189407103,93,0.2940362529403625,0.2912285556170448,0.2910902047592695,0.2924737133370227,0.2917819590481461,0.2924737133370227,0.29136690647482016,0.2910902047592695,0.29205866076369674,0.29371887105700056,0.2921319042093655,0.0010038942546007755
13.769107437133789,0.8496621451851978,2.9706676244735717,0.22456027702888706,0.7,0.7,algorithm2,TV,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm2', 'selector__dispersion_measure': 'TV'}",0.277363184079602,0.29389788293897884,0.29265255292652553,0.2901618929016189,0.2889165628891656,0.286425902864259,0.2851805728518057,0.2889165628891656,0.2876712328767123,0.2901618929016189,0.28813482401194523,0.004369829809412393,89,0.2940362529403625,0.2902600996126176,0.2912285556170448,0.29136690647482016,0.29192030990592144,0.29150525733259547,0.2916436081903708,0.2916436081903708,0.29136690647482016,0.2928887659103486,0.2917860270649272,0.0009699243470672536
14.31675465106964,1.1668739841930778,2.7489261627197266,0.5176585619119003,0.7,0.7,algorithm2,AMGM,"{'selector__L': 0.7, 'selector__MS': 0.7, 'selector__algorithm': 'algorithm2', 'selector__dispersion_measure': 'AMGM'}",0.2922885572139303,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.2889165628891656,0.286425902864259,0.2851805728518057,0.2889165628891656,0.2901618929016189,0.2901618929016189,0.28987642732786867,0.002502797935833769,57,0.2904386329043863,0.295655783065855,0.2909518539014942,0.2912285556170448,0.29136690647482016,0.2912285556170448,0.29136690647482016,0.29136690647482016,0.2909518539014942,0.29219701162147205,0.2916752966053252,0.001392013048078387
19.039211773872374,1.1690051565367268,3.531778645515442,0.1647282308965576,0.7,0.75,algorithm1,MM,"{'selector__L': 0.7, 'selector__MS': 0.75, 'selector__algorithm': 'algorithm1', 'selector__dispersion_measure': 'MM'}",0.2798507462686567,0.2889165628891656,0.29638854296388545,0.29514321295143214,0.2889165628891656,0.29140722291407223,0.2876712328767123,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.2905006412520213,0.0044347739964122725,28,0.3013698630136986,0.29897620365246264,0.2934421693414499,0.2953790813503044,0.29620918649695627,0.29676258992805754,0.2948256779192031,0.2948256779192031,0.29371887105700056,0.2996679579413392,0.2965177278619675,0.002529459725423697
19.439199900627138,1.125865620248426,3.8100241899490355,0.2604386484003447,0.7,0.75,algorithm1,MAD,"{'selector__L': 0.7, 'selector__MS': 0.75, 'selector__algorithm': 'algorithm1', 'selector__dispersion_measure': 'MAD'}",0.2798507462686567,0.2889165628891656,0.29638854296388545,0.29514321295143214,0.2889165628891656,0.29140722291407223,0.2889165628891656,0.29389788293897884,0.29140722291407223,0.29140722291407223,0.29062517425326667,0.004370593458718758,1,0.3013698630136986,0.29897620365246264,0.2934421693414499,0.2953790813503044,0.29620918649695627,0.29676258992805754,0.29454897620365245,0.2948256779192031,0.29371887105700056,0.2998063087991146,0.29650389277618994,0.0025667784485599583
