mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.920218992233277,0.06223148496366473,2.7611199855804442,0.08239753114492573,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.2899813316739266,0.2907845579078456,0.2907845579078456,0.2907845579078456,0.2901618929016189,0.2904993796598165,0.00035390702934248166,15
4.049374198913574,0.11129868131478025,1.0286861896514892,0.01586854507358669,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.22277535780958307,0.21481942714819427,0.21108343711083438,0.19240348692403486,0.21357409713574096,0.21093116122567754,0.010056705402864878,18
4.874689531326294,0.047928042457887794,2.661357545852661,0.03148574885031918,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.3646546359676416,0.36737235367372356,0.37048567870485677,0.3617683686176837,0.3686176836861768,0.3665797441300164,0.0030624541852504305,6
4.688512754440308,0.01714385549310277,0.9111332893371582,0.026337137661804334,0.1,0.01,sigmoid,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.343497199751089,0.35242839352428396,0.36239103362391034,0.3493150684931507,0.35242839352428396,0.35201201778334357,0.006129377928147402,8
4.881358814239502,0.07584257909145797,2.7307833671569823,0.03485736934990486,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.31922837585563163,0.31444582814445826,0.31693648816936487,0.31880448318804483,0.3206724782067248,0.3180175307128449,0.002147552028292962,9
4.511852979660034,0.08219066822092279,0.8178194522857666,0.01227720677129447,0.1,0.001,sigmoid,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.29869321717485997,0.2957658779576588,0.30199252801992527,0.29514321295143214,0.3001245330012453,0.2983438738210243,0.0025882719343917567,10
10.580500984191895,0.02827577028172742,2.7407063484191894,0.007916376881624181,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.2906036092097075,0.29140722291407223,0.29140722291407223,0.2907845579078456,0.29140722291407223,0.291121967171954,0.00035402048069703,13
3.8379143714904784,0.09223513089367887,1.0075927734375,0.01517239183729498,10,1,sigmoid,"{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}",0.22464219041692596,0.21232876712328766,0.21855541718555418,0.19364881693648817,0.22353673723536738,0.21454238577952464,0.011317686684518335,16
5.4940966129302975,0.025489438117822113,2.595840644836426,0.025219345663927136,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.42501555693839455,0.40473225404732255,0.43711083437110837,0.40971357409713577,0.42092154420921546,0.41949875273263537,0.011458133253045472,2
2.889713430404663,0.05409669113122979,0.7552879333496094,0.01106167681063327,10,0.01,sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.2943372744243933,0.3244084682440847,0.31693648816936487,0.27334993773349936,0.28144458281444584,0.2980953502771576,0.019753861837032576,11
4.671350431442261,0.029062455627693523,2.5685962677001952,0.03409542436250623,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.4057249533291848,0.39975093399750933,0.4259028642590286,0.3972602739726027,0.4041095890410959,0.4065497229198843,0.010136034436328737,3
4.19103045463562,0.06425695558778233,0.780459213256836,0.005195531527099793,10,0.001,sigmoid,"{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.4044803982576229,0.39103362391033625,0.4016189290161893,0.40722291407222916,0.3891656288916563,0.3987042988296068,0.007269809863827123,4
10.5762433052063,0.030081493700303944,2.7704530239105223,0.04053085502017269,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.2906036092097075,0.29140722291407223,0.29140722291407223,0.2907845579078456,0.29140722291407223,0.291121967171954,0.00035402048069703,13
3.858601713180542,0.09397062889713209,1.0010101318359375,0.012819148704988226,100,1,sigmoid,"{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}",0.2265090230242688,0.21046077210460773,0.21980074719800746,0.18991282689912828,0.21419676214196762,0.21217602627359597,0.01237939159838811,17
10.764215183258056,0.08316132112518848,2.573802614212036,0.01990726932602265,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.35532047293092717,0.3605230386052304,0.37858032378580325,0.3848069738480697,0.37858032378580325,0.3715622265911668,0.011485546915273264,5
2.8008213520050047,0.126387267448865,0.7259458065032959,0.01001605999716516,100,0.01,sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.29620410703173616,0.3001245330012453,0.32004981320049813,0.27023661270236615,0.2957658779576588,0.2964761887787009,0.015862661230395158,12
367.1997632026672,719.2088162293251,3.772591161727905,2.4260584891008063,100,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.433105164903547,0.412826899128269,0.4383561643835616,0.42341220423412207,0.4227895392278954,0.42609799437547907,0.00887293056395669,1
119.28976731300354,224.545814690619,1.1663564682006835,0.6248900887480763,100,0.001,sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.3690105787181083,0.3561643835616438,0.3655043586550436,0.36737235367372356,0.34620174346201743,0.3608506836141074,0.008571179797701804,7
